resource_url,http_status,content_type,live_bucket
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inaoJr2010-S.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inaoJr2009-S.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/02/INBO2025-Solution-20250219.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2024/02/INBO2024-Solution-20240220.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2023/02/INBO2023-Solutions-20230215.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2022/03/IOQB2022-PartII-Solutions-20220503.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2021/02/IOQB2021-PartII-Solutions-20210217.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2020/02/INBO2020-Solutions-20200220.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/incho2010-S.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2018/05/INBO-Solution-20190219.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2017/09/INBO2018-Solution-20180213.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inbo2016-S.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2020/02/INJSO2020-Solutions-20200220.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inbo2015-S.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2020/02/INChO2020-Solutions-20200220.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inbo2014-S.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inbo2013-S.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inbo2012-S.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/injso2014-S.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inbo2010-S.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/02/INChO2025-Solution-20250219.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2024/02/INChO2024-Solution-20240220.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inbo2009-S.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2023/03/INChO2023-Solution-20230215.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2022/03/IOQC2022-PartII-Solutions-20220503.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2024/02/INPhO2024-Solution-20240220.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2021/04/IOQC2021-PartII-Solutions-20210413.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2018/05/INChO2019-Solution-20190219.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2017/02/INChO2017-Solution-20170215.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2017/01/Frozen-solutions-INChO-2016.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2017/09/INChO2018-Solution-20180213.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/incho2015-S.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/incho2014-S.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/incho2013-S.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inpho2012-S.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2020/03/INPHO2020-Solutions-20200220.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2017/01/Frozen-solutions-INChO-2011.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/incho2009-S.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2017/01/Solutions-INChO-2008.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/incho2012-S.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2023/02/INJSO2023-Solution-20230215.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2022/03/IOQJS2022-PartII-Solutions-20220503.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2021/01/IOQJS2021-PartII-Solutions-20210128.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads-2025-2026/,200,text/html; charset=utf-8,200_html
